"","Centre","Year","Pass1","Fail1","Total1","Pass1prop","Pass2","Fail2","Total2","Pass2prop","Totalpass","totalFails"
"1","Abbeyfeale","2013",6446,6557,13003,0.495731754210567,6249,569,6818,0.916544441185098,12695,7126
"2","Arklow","2013",10217,12054,22271,0.458758026132639,10529,1074,11603,0.907437731621133,20746,13128
"3","Athlone","2013",7169,8277,15446,0.464133108895507,7350,726,8076,0.910104011887073,14519,9003
"4","Ballina","2013",6223,7715,13938,0.446477256421294,7081,537,7618,0.929509057495406,13304,8252
"5","Ballinasloe","2013",5417,5395,10812,0.50101738808731,4852,500,5352,0.906576980568012,10269,5895
"6","Cahir","2013",11418,13225,24643,0.463336444426409,11745,1029,12774,0.919445749178018,23163,14254
"7","Cahirciveen","2013",1508,1737,3245,0.464714946070878,1553,118,1671,0.929383602633154,3061,1855
"8","Carlow","2013",10049,13869,23918,0.42014382473451,12005,1426,13431,0.89382771200953,22054,15295
"9","Carndonagh","2013",2812,2728,5540,0.507581227436823,2750,275,3025,0.909090909090909,5562,3003
"10","Carrick-on-Shannon","2013",4129,6396,10525,0.392304038004751,5709,633,6342,0.900189214758751,9838,7029
"11","Castlerea","2013",5374,7760,13134,0.409167047358002,6811,757,7568,0.899973572938689,12185,8517
"12","Cavan","2013",5002,8071,13073,0.382620668553507,7361,936,8297,0.887188140291672,12363,9007
"13","Charleville","2013",8123,6970,15093,0.538196514940701,6548,519,7067,0.926560067921325,14671,7489
"14","Clifden","2013",1378,2409,3787,0.363876419329284,2159,193,2352,0.917942176870748,3537,2602
"15","Cork-Blarney","2013",16827,19542,36369,0.462674255547307,16430,1702,18132,0.906132803882638,33257,21244
"16","Cork-Little Island","2013",29711,27805,57516,0.516569302454969,25499,2322,27821,0.916537867078825,55210,30127
"17","Deansgrange","2013",40659,40561,81220,0.500603299679882,36672,3832,40504,0.905392060043453,77331,44393
"18","Derrybeg","2013",2211,2566,4777,0.462842788360896,2416,211,2627,0.919680243623906,4627,2777
"19","Donegal","2013",4941,4424,9365,0.527602776294714,4188,440,4628,0.904926534140017,9129,4864
"20","Drogheda","2013",14796,13624,28420,0.520619282195637,11984,1103,13087,0.915717887980439,26780,14727
"21","Dundalk","2013",7398,9173,16571,0.446442580411562,8210,990,9200,0.892391304347826,15608,10163
"22","Ennis","2013",11398,15388,26786,0.425520794444859,13807,1493,15300,0.902418300653595,25205,16881
"23","Enniscorthy","2013",12670,16850,29520,0.42920054200542,14849,1440,16289,0.911596783105163,27519,18290
"24","Fonthill","2013",37628,47982,85610,0.439528092512557,39018,4306,43324,0.900609362016434,76646,52288
"25","Galway","2013",20020,26917,46937,0.426529177408015,24163,2511,26674,0.905863387568419,44183,29428
"26","Greenhills","2013",25057,26509,51566,0.485920955668464,25623,2622,28245,0.907169410515135,50680,29131
"27","Kells","2013",11359,14535,25894,0.438673051672202,12509,1385,13894,0.900316683460487,23868,15920
"28","Kilkenny","2013",11611,10605,22216,0.522641339575081,9524,705,10229,0.931078306774856,21135,11310
"29","Killarney","2013",8438,7138,15576,0.541730868002054,6655,593,7248,0.918184326710817,15093,7731
"30","Letterkenny","2013",8332,10692,19024,0.437973086627418,9653,1077,10730,0.899627213420317,17985,11769
"31","Limerick","2013",19521,24522,44043,0.443225938287583,21965,2470,24435,0.898915490075711,41486,26992
"32","Longford","2013",5968,7013,12981,0.459748863723904,6247,738,6985,0.894345025053687,12215,7751
"33","Macroom","2013",7532,7284,14816,0.508369330453564,6627,515,7142,0.927891346961635,14159,7799
"34","Monaghan","2013",3978,7211,11189,0.355527750469211,6574,928,7502,0.876299653425753,10552,8139
"35","Mullingar","2013",6883,8828,15711,0.438100693781427,7953,838,8791,0.904675236036856,14836,9666
"36","Naas","2013",17046,21748,38794,0.439397845027582,17792,2108,19900,0.894070351758794,34838,23856
"37","Nenagh","2013",9808,10456,20264,0.484011054086064,9301,783,10084,0.922352241174137,19109,11239
"38","Northpoint 1","2013",24309,31823,56132,0.433068481436614,27450,3665,31115,0.882211152177406,51759,35488
"39","Northpoint 2","2013",30317,36533,66850,0.453507853403141,32460,3757,36217,0.896264185327332,62777,40290
"40","Portlaoise","2013",9140,8703,17843,0.512245698593286,8031,678,8709,0.922149500516707,17171,9381
"41","Skibbereen","2013",6649,7246,13895,0.478517452320979,6756,513,7269,0.929426330994635,13405,7759
"42","Sligo","2013",6970,9672,16642,0.418819853383007,8694,821,9515,0.913715186547556,15664,10493
"43","Tralee","2013",10037,8299,18336,0.547393106457243,7634,596,8230,0.927582017010936,17671,8895
"44","Tullamore","2013",8442,7973,16415,0.514285714285714,7283,603,7886,0.923535379152929,15725,8576
"45","Waterford","2013",15117,15961,31078,0.486421262629513,14037,1495,15532,0.903747102755601,29154,17456
"46","Westport","2013",8761,8683,17444,0.502235725750975,8096,574,8670,0.933794694348328,16857,9257
"47","Youghal","2013",6405,6241,12646,0.50648426379883,5649,485,6134,0.920932507336159,12054,6726
"48","Abbeyfeale","2014",8236,7359,15595,0.528117986534146,NA,NA,NA,NA,8236,7359
"49","Arklow","2014",13776,13186,26962,0.510941324827535,NA,NA,NA,NA,13776,13186
"50","Athlone","2014",8566,8323,16889,0.507194031618213,NA,NA,NA,NA,8566,8323
"51","Ballina","2014",7291,8327,15618,0.466833141247279,NA,NA,NA,NA,7291,8327
"52","Ballinasloe","2014",6900,6070,12970,0.531996915959908,NA,NA,NA,NA,6900,6070
"53","Cahir","2014",14037,14595,28632,0.490255658005029,NA,NA,NA,NA,14037,14595
"54","Cahirciveen","2014",1753,1829,3582,0.489391401451703,NA,NA,NA,NA,1753,1829
"55","Carlow","2014",12361,15069,27430,0.450637987604812,NA,NA,NA,NA,12361,15069
"56","Carndonagh","2014",2875,3371,6246,0.460294588536663,NA,NA,NA,NA,2875,3371
"57","Carrick-on-Shannon","2014",5296,6609,11905,0.444855102897942,NA,NA,NA,NA,5296,6609
"58","Castlerea","2014",6713,8130,14843,0.452267061914707,NA,NA,NA,NA,6713,8130
"59","Cavan","2014",7012,8496,15508,0.452153727108589,NA,NA,NA,NA,7012,8496
"60","Charleville","2014",9251,7890,17141,0.539700134181203,NA,NA,NA,NA,9251,7890
"61","Clifden","2014",1503,2719,4222,0.355992420653719,NA,NA,NA,NA,1503,2719
"62","Cork-Blarney","2014",20612,23018,43630,0.472427228970892,NA,NA,NA,NA,20612,23018
"63","Cork-Little Island","2014",35318,30543,65861,0.536250588360335,NA,NA,NA,NA,35318,30543
"64","Deansgrange","2014",46052,40440,86492,0.532442306802941,NA,NA,NA,NA,46052,40440
"65","Derrybeg","2014",2493,2991,5484,0.454595185995624,NA,NA,NA,NA,2493,2991
"66","Donegal","2014",5034,5344,10378,0.485064559645404,NA,NA,NA,NA,5034,5344
"67","Drogheda","2014",15791,14395,30186,0.52312330219307,NA,NA,NA,NA,15791,14395
"68","Dundalk","2014",8621,10124,18745,0.459909309149106,NA,NA,NA,NA,8621,10124
"69","Ennis","2014",13941,17923,31864,0.437515691689681,NA,NA,NA,NA,13941,17923
"70","Enniscorthy","2014",15612,16702,32314,0.483134245218791,NA,NA,NA,NA,15612,16702
"71","Fonthill","2014",40424,50294,90718,0.445600652571706,NA,NA,NA,NA,40424,50294
"72","Galway","2014",25409,33733,59142,0.429626999425112,NA,NA,NA,NA,25409,33733
"73","Greenhills","2014",30717,30255,60972,0.503788624286558,NA,NA,NA,NA,30717,30255
"74","Kells","2014",14137,14077,28214,0.501063301906855,NA,NA,NA,NA,14137,14077
"75","Kilkenny","2014",15362,11014,26376,0.582423415225963,NA,NA,NA,NA,15362,11014
"76","Killarney","2014",10037,7411,17448,0.575252177900046,NA,NA,NA,NA,10037,7411
"77","Letterkenny","2014",9996,11712,21708,0.460475400773908,NA,NA,NA,NA,9996,11712
"78","Limerick","2014",23090,26156,49246,0.468870568167973,NA,NA,NA,NA,23090,26156
"79","Longford","2014",7172,8461,15633,0.458773108168618,NA,NA,NA,NA,7172,8461
"80","Macroom","2014",9281,7939,17220,0.538966318234611,NA,NA,NA,NA,9281,7939
"81","Monaghan","2014",5213,8023,13236,0.393850105772137,NA,NA,NA,NA,5213,8023
"82","Mullingar","2014",7942,8836,16778,0.473357968768626,NA,NA,NA,NA,7942,8836
"83","Naas","2014",20825,23571,44396,0.46907379043157,NA,NA,NA,NA,20825,23571
"84","Nenagh","2014",12392,12587,24979,0.496096721245847,NA,NA,NA,NA,12392,12587
"85","Northpoint 1","2014",26118,33177,59295,0.44047558816089,NA,NA,NA,NA,26118,33177
"86","Northpoint 2","2014",33628,36795,70423,0.477514448404641,NA,NA,NA,NA,33628,36795
"87","Portlaoise","2014",11137,9922,21059,0.528847523624104,NA,NA,NA,NA,11137,9922
"88","Skibbereen","2014",8302,7816,16118,0.515076312197543,NA,NA,NA,NA,8302,7816
"89","Sligo","2014",8810,10356,19166,0.459668162370865,NA,NA,NA,NA,8810,10356
"90","Tralee","2014",13457,9599,23056,0.58366585704372,NA,NA,NA,NA,13457,9599
"91","Tullamore","2014",9472,8546,18018,0.525696525696526,NA,NA,NA,NA,9472,8546
"92","Waterford","2014",18869,18214,37083,0.508831540058787,NA,NA,NA,NA,18869,18214
"93","Westport","2014",11189,10473,21662,0.516526636506324,NA,NA,NA,NA,11189,10473
"94","Youghal","2014",8185,7658,15843,0.516631951019378,NA,NA,NA,NA,8185,7658
"95","Abbeyfeale","2015",8642,7782,16424,0.526181198246469,7259,783,8042,0.902636160159164,15901,8565
"96","Arklow","2015",14582,14777,29359,0.49667904220171,12733,1351,14084,0.904075546719682,27315,16128
"97","Athlone","2015",9044,9121,18165,0.497880539499037,8720,788,9508,0.917122423222549,17764,9909
"98","Ballina","2015",8648,9352,18000,0.480444444444444,8638,662,9300,0.928817204301075,17286,10014
"99","Ballinasloe","2015",7332,6767,14099,0.520036882048372,6396,535,6931,0.922810561246573,13728,7302
"100","Cahir","2015",15884,15639,31523,0.503886051454493,14309,1262,15571,0.918951897758654,30193,16901
"101","Cahirciveen","2015",1930,1853,3783,0.510177108115252,1702,76,1778,0.957255343082115,3632,1929
"102","Carlow","2015",13711,16395,30106,0.455424167939946,14544,1568,16112,0.902681231380338,28255,17963
"103","Carndonagh","2015",3746,3845,7591,0.493479120010539,3693,375,4068,0.907817109144543,7439,4220
"104","Carrick-on-Shannon","2015",6038,7016,13054,0.462540217557837,6430,573,7003,0.918177923746966,12468,7589
"105","Castlerea","2015",7048,8229,15277,0.461347123126268,7529,725,8254,0.912163799370002,14577,8954
"106","Cavan","2015",7083,9212,16295,0.434673212641915,8820,1031,9851,0.895340574560958,15903,10243
"107","Charleville","2015",8620,9302,17922,0.48097310568017,8518,792,9310,0.914930182599356,17138,10094
"108","Clifden","2015",1734,2975,4709,0.368231046931408,2725,310,3035,0.897858319604613,4459,3285
"109","Cork-Blarney","2015",22123,24592,46715,0.473573798565771,21348,2198,23546,0.906650811178119,43471,26790
"110","Cork-Little Island","2015",40254,35872,76126,0.528781231116833,34612,3151,37763,0.916558536133252,74866,39023
"111","Deansgrange","2015",54974,44857,99831,0.550670633370396,43563,4081,47644,0.914343883804886,98537,48938
"112","Derrybeg","2015",2625,3378,6003,0.43728135932034,3242,270,3512,0.923120728929385,5867,3648
"113","Donegal","2015",5971,5679,11650,0.512532188841202,5326,606,5932,0.897842211732974,11297,6285
"114","Drogheda","2015",19157,17852,37009,0.517630846550839,16003,1646,17649,0.90673692560485,35160,19498
"115","Dundalk","2015",10875,12687,23562,0.461548255665903,11465,1341,12806,0.895283460877714,22340,14028
"116","Ennis","2015",15448,17534,32982,0.46837669031593,16230,1693,17923,0.905540367126039,31678,19227
"117","Enniscorthy","2015",17397,19221,36618,0.475094215959364,17929,1721,19650,0.912417302798982,35326,20942
