"","Centre","Pass1","Fail1","Total1","Pass2","Fail2","Total2","Totalpass","totalFails","Pass1prop","Pass2prop","totalPassProp","totalFailsProp"
"1","Abbeyfeale",49057,42654,91711,32858,3299,36157,81915,45953,0.534908571490879,0.908759023149044,0.640621578502831,0.359378421497169
"2","Arklow",76977,82952,159929,60795,6402,67197,137772,89354,0.481319835677082,0.90472788963793,0.606588413479743,0.393411586520257
"3","Athlone",50017,54845,104862,42231,4048,46279,92248,58893,0.476979267990311,0.912530521402796,0.610343983432689,0.389656016567311
"4","Ballina",46311,52833,99144,40987,3086,44073,87298,55919,0.467108448317599,0.929979806230572,0.609550542184238,0.390449457815762
"5","Ballinasloe",44287,39639,83926,30909,2546,33455,75196,42185,0.527691061172938,0.923897773128083,0.640614750257708,0.359385249742292
"6","Cahir",82458,89423,171881,66584,5910,72494,149042,95333,0.479738889115144,0.918476011807874,0.609890537084399,0.390109462915601
"7","Cahirciveen",10380,10287,20667,7669,470,8139,18049,10757,0.502249963710263,0.942253348077159,0.626570853294453,0.373429146705547
"8","Carlow",71557,90461,162018,66323,6871,73194,137880,97332,0.441660803120641,0.906126185206438,0.586194581909086,0.413805418090914
"9","Carndonagh",20161,19928,40089,15883,1497,17380,36044,21425,0.502906034074185,0.913866513233602,0.627190311298265,0.372809688701735
"10","Carrick-on-Shannon",32774,41037,73811,31226,2906,34132,64000,43943,0.444025958190514,0.91485995546701,0.592905514947704,0.407094485052296
"11","Castlerea",37858,48225,86083,35457,3533,38990,73315,51758,0.439784858799066,0.909387022313414,0.586177672239412,0.413822327760588
"12","Cavan",38456,52178,90634,40168,4845,45013,78624,57023,0.424299931593,0.892364428054118,0.57962210738166,0.42037789261834
"13","Charleville",52040,48926,100966,37601,3142,40743,89641,52068,0.515421032822931,0.922882458336401,0.632570972909272,0.367429027090728
"14","Clifden",9862,15776,25638,11905,1140,13045,21767,16916,0.384663390280053,0.912610195477194,0.562701962102215,0.437298037897785
"15","Cork-Blarney",122304,134759,257063,96485,10046,106531,218789,144805,0.475774421056317,0.905698810674827,0.601739852692839,0.398260147307161
"16","Cork-Little Island",210080,190578,400658,152369,13466,165835,362449,204044,0.524337464870288,0.91879880604215,0.639811965902491,0.360188034097509
"17","Deansgrange",299955,250046,550001,199071,18412,217483,499026,268458,0.545371735687753,0.915340509373146,0.650210297543662,0.349789702456338
"18","Derrybeg",14544,18197,32741,14326,929,15255,28870,19126,0.444213677041019,0.939101933792199,0.601508459038253,0.398491540961747
"19","Donegal",26523,26649,53172,19683,2109,21792,46206,28758,0.498815165876777,0.903221365638767,0.616375860412998,0.383624139587002
"20","Donegal Town",5468,5399,10867,5023,425,5448,10491,5824,0.503174749240821,0.921989720998532,0.643027888446215,0.356972111553785
"21","Drogheda",104078,100335,204413,76132,7551,83683,180210,107886,0.509155484240239,0.909766619265562,0.625520659780073,0.374479340219927
"22","Dundalk",57348,66139,123487,50866,5835,56701,108214,71974,0.464405160057334,0.897091762050052,0.600561635625014,0.399438364374986
"23","Ennis",84420,99767,184187,74759,7750,82509,159179,107517,0.458338536378789,0.906070852876656,0.596855595884453,0.403144404115547
"24","Enniscorthy",97131,109863,206994,83812,7995,91807,180943,117858,0.469245485376388,0.912915137189975,0.605563569064361,0.394436430935639
"25","Fonthill",239965,300090,540055,207409,23221,230630,447374,323311,0.444334373350862,0.899314920001734,0.580488785950161,0.419511214049839
"26","Galway",153682,180805,334487,134796,13345,148141,288478,194150,0.459455823395229,0.909916903490593,0.597723298275276,0.402276701724724
"27","Greenhills",180959,194329,375288,161471,17296,178767,342430,211625,0.482187013706806,0.903248362393507,0.618043335047965,0.381956664952035
"28","Kells",88185,97516,185701,73339,7888,81227,161524,105404,0.474876279610772,0.902889433316508,0.60512198045915,0.39487801954085
"29","Kilkenny",89221,69239,158460,55387,3955,59342,144608,73194,0.563050612141865,0.933352431667285,0.663942479867035,0.336057520132965
"30","Killarney",60576,49278,109854,39962,2807,42769,100538,52085,0.551422797531269,0.934368350908368,0.658734266788099,0.341265733211901
"31","Letterkenny",58258,68516,126774,52951,5146,58097,111209,73662,0.459542177418083,0.911423997796788,0.60154918835296,0.39845081164704
"32","Limerick",143514,157157,300671,123681,13214,136895,267195,170371,0.477312411240193,0.903473465064465,0.610639309269916,0.389360690730084
"33","Longford",38014,47821,85835,35521,4112,39633,73535,51933,0.442872953923225,0.896248076098201,0.586085695157331,0.413914304842669
"34","Macroom",51206,46442,97648,34982,2432,37414,86188,48874,0.524393740783221,0.934997594483349,0.638136559506005,0.361863440493995
"35","Monaghan",30654,48576,79230,36668,4849,41517,67322,53425,0.386898901931087,0.883204470457885,0.557545943170431,0.442454056829569
"36","Mullingar",51146,60259,111405,46601,4463,51064,97747,64722,0.459099681342848,0.912599874667084,0.601634773402926,0.398365226597074
"37","Naas",125768,144981,270749,104105,10552,114657,229873,155533,0.464518797853362,0.90796898575752,0.596443750227033,0.403556249772967
"38","Nenagh",69604,72692,142296,53782,4847,58629,123386,77539,0.489149378759768,0.917327602381074,0.614089834515366,0.385910165484634
"39","Northpoint 1",166792,198962,365754,149551,17565,167116,316343,216527,0.456022353822515,0.89489336748127,0.593658866139959,0.406341133860041
"40","Northpoint 2",235613,266101,501714,206849,21098,227947,442462,287199,0.469616155817856,0.907443396929988,0.606393928139232,0.393606071860768
"41","Portlaoise",74959,62880,137839,48356,3825,52181,123315,66705,0.543815610966417,0.926697456928767,0.648958004420587,0.351041995579413
"42","Skibbereen",45819,48885,94704,38242,2725,40967,84061,51610,0.483812721743538,0.933483047330778,0.619594460127809,0.380405539872191
"43","Sligo",52628,61971,114599,47529,3914,51443,100157,65885,0.459236118988822,0.923915790292168,0.603202804109804,0.396797195890196
